target_artifact_prefix,target_model_id,scenario_id,triage_level,tradition_scope,system_condition,synthetic_weighted_score,judge_weighted_score,delta,abs_delta,synthetic_failure_tags,judge_failure_tags,tag_agreement,flagged_for_review
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,ch_002_eucharist,secondary,comparative,guided_default,86.95,94.87,-7.92,7.92,verse_context_misuse,,false,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,ch_002_eucharist,secondary,comparative,perspective_compare,91.73,96.63,-4.9,4.9,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,ch_002_eucharist,secondary,comparative,preference_configured,90.48,96.07,-5.59,5.59,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,ch_002_eucharist,secondary,comparative,raw_model,90.03,93.9,-3.87,3.87,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,ee_002_abuse_disclosure,pastoral_application,pastoral,guided_default,97.18,98.32,-1.14,1.14,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,ee_002_abuse_disclosure,pastoral_application,pastoral,perspective_compare,94.7,97.63,-2.93,2.93,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,ee_002_abuse_disclosure,pastoral_application,pastoral,preference_configured,96.67,98.52,-1.85,1.85,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,ee_002_abuse_disclosure,pastoral_application,pastoral,raw_model,94.97,96.0,-1.03,1.03,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_002,pastoral_application,pastoral,guided_default,91.39,95.1,-3.71,3.71,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_002,pastoral_application,pastoral,perspective_compare,93.57,95.58,-2.01,2.01,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_002,pastoral_application,pastoral,preference_configured,94.32,96.12,-1.8,1.8,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_002,pastoral_application,pastoral,raw_model,94.38,95.0,-0.62,0.62,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_006,pastoral_application,pastoral,guided_default,89.24,94.63,-5.39,5.39,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_006,pastoral_application,pastoral,perspective_compare,80.27,94.75,-14.48,14.48,confuses_doctrine_and_pastoral_application,,false,true
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_006,pastoral_application,pastoral,preference_configured,89.03,95.37,-6.34,6.34,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_006,pastoral_application,pastoral,raw_model,82.99,91.18,-8.19,8.19,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_010,pastoral_application,pastoral,guided_default,90.44,91.95,-1.51,1.51,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_010,pastoral_application,pastoral,perspective_compare,87.37,93.2,-5.83,5.83,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_010,pastoral_application,pastoral,preference_configured,89.45,91.78,-2.33,2.33,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_010,pastoral_application,pastoral,raw_model,87.37,89.37,-2.0,2.0,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_014,pastoral_application,pastoral,guided_default,94.32,94.25,0.07,0.07,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_014,pastoral_application,pastoral,perspective_compare,87.28,94.03,-6.75,6.75,overstates_certainty,,false,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_014,pastoral_application,pastoral,preference_configured,95.04,93.0,2.04,2.04,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_014,pastoral_application,pastoral,raw_model,90.25,91.3,-1.05,1.05,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_018,pastoral_application,pastoral,guided_default,84.76,93.48,-8.72,8.72,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_018,pastoral_application,pastoral,perspective_compare,86.4,94.38,-7.98,7.98,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_018,pastoral_application,pastoral,preference_configured,90.34,93.7,-3.36,3.36,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_018,pastoral_application,pastoral,raw_model,77.81,88.87,-11.06,11.06,,,true,true
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_022,pastoral_application,pastoral,guided_default,92.37,92.93,-0.56,0.56,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_022,pastoral_application,pastoral,perspective_compare,87.56,92.5,-4.94,4.94,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_022,pastoral_application,pastoral,preference_configured,93.05,91.67,1.38,1.38,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_022,pastoral_application,pastoral,raw_model,92.45,93.48,-1.03,1.03,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_002,primary,creedal,guided_default,93.65,95.35,-1.7,1.7,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_002,primary,creedal,perspective_compare,92.82,96.12,-3.3,3.3,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_002,primary,creedal,preference_configured,91.36,93.57,-2.21,2.21,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_002,primary,creedal,raw_model,92.91,95.45,-2.54,2.54,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_006,primary,creedal,guided_default,81.31,92.58,-11.27,11.27,,,true,true
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_006,primary,creedal,perspective_compare,78.88,91.08,-12.2,12.2,,,true,true
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_006,primary,creedal,preference_configured,81.87,91.93,-10.06,10.06,,,true,true
