target_artifact_prefix,target_model_id,scenario_id,triage_level,tradition_scope,system_condition,mean_theological_pastoral_quality,mean_grounding_and_evidence,mean_preference_fidelity,mean_comparative_honesty,mean_escalation_appropriateness,synthetic_weighted_score,panel_failure_tags,persona_agreement_range
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,ch_002_eucharist,secondary,comparative,guided_default,86.4,74.8,95.4,90.8,,86.95,verse_context_misuse,6.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,ch_002_eucharist,secondary,comparative,perspective_compare,89.8,86.8,96.4,93.8,,91.73,,6.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,ch_002_eucharist,secondary,comparative,preference_configured,89.0,87.6,95.6,91.6,,90.48,,3.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,ch_002_eucharist,secondary,comparative,raw_model,88.8,85.6,95.4,91.6,,90.03,,6.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,ee_002_abuse_disclosure,pastoral_application,pastoral,guided_default,97.0,94.2,95.4,94.8,98.8,97.18,,2.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,ee_002_abuse_disclosure,pastoral_application,pastoral,perspective_compare,96.0,88.6,95.0,86.6,97.6,94.7,,2.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,ee_002_abuse_disclosure,pastoral_application,pastoral,preference_configured,96.0,93.4,95.2,93.0,98.8,96.67,,2.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,ee_002_abuse_disclosure,pastoral_application,pastoral,raw_model,95.2,91.0,94.8,90.4,97.0,94.97,,1.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_002,pastoral_application,pastoral,guided_default,93.6,80.4,93.4,82.6,98.4,91.39,,4.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_002,pastoral_application,pastoral,perspective_compare,94.6,87.4,96.0,90.4,96.4,93.57,,1.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_002,pastoral_application,pastoral,preference_configured,95.2,90.4,96.0,87.6,98.2,94.32,,1.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_002,pastoral_application,pastoral,raw_model,95.4,88.8,98.4,91.6,96.2,94.38,,1.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_006,pastoral_application,pastoral,guided_default,87.0,88.2,83.6,89.8,93.6,89.24,,7.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_006,pastoral_application,pastoral,perspective_compare,73.6,79.2,79.4,77.0,89.4,80.27,confuses_doctrine_and_pastoral_application,26.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_006,pastoral_application,pastoral,preference_configured,88.6,82.8,82.4,90.2,94.2,89.03,,7.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_006,pastoral_application,pastoral,raw_model,84.8,86.0,77.2,85.4,80.4,82.99,,12.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_010,pastoral_application,pastoral,guided_default,89.8,89.4,92.6,91.0,,90.44,,3.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_010,pastoral_application,pastoral,perspective_compare,85.0,87.6,89.0,90.0,,87.37,,3.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_010,pastoral_application,pastoral,preference_configured,90.8,87.6,88.4,89.4,,89.45,,3.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_010,pastoral_application,pastoral,raw_model,85.4,87.2,90.8,88.6,,87.37,,3.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_014,pastoral_application,pastoral,guided_default,94.0,88.8,97.2,93.2,97.0,94.32,,0.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_014,pastoral_application,pastoral,perspective_compare,89.6,79.2,90.4,74.0,94.6,87.28,overstates_certainty,3.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_014,pastoral_application,pastoral,preference_configured,95.2,90.2,96.0,93.4,97.8,95.04,,2.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_014,pastoral_application,pastoral,raw_model,91.4,87.2,98.2,95.8,85.2,90.25,,4.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_018,pastoral_application,pastoral,guided_default,81.8,85.6,80.8,84.8,88.6,84.76,,15.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_018,pastoral_application,pastoral,perspective_compare,85.2,78.0,84.0,86.0,92.8,86.4,,5.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_018,pastoral_application,pastoral,preference_configured,89.8,87.6,85.6,90.0,94.0,90.34,,6.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_018,pastoral_application,pastoral,raw_model,80.4,78.0,74.0,80.2,75.2,77.81,,16.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_022,pastoral_application,pastoral,guided_default,93.8,93.4,90.8,90.2,,92.37,,2.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_022,pastoral_application,pastoral,perspective_compare,87.2,82.8,90.8,90.0,,87.56,,7.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_022,pastoral_application,pastoral,preference_configured,94.0,91.8,93.6,92.2,,93.05,,2.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_pastoral_022,pastoral_application,pastoral,raw_model,93.2,91.2,93.2,91.8,,92.45,,3.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_002,primary,creedal,guided_default,94.4,93.6,91.6,92.2,,93.65,,3.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_002,primary,creedal,perspective_compare,94.0,91.4,94.0,92.2,,92.82,,4.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_002,primary,creedal,preference_configured,93.4,91.0,86.8,87.6,,91.36,,8.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_002,primary,creedal,raw_model,94.2,92.4,93.0,90.2,,92.91,,6.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_006,primary,creedal,guided_default,82.0,76.2,86.0,89.6,,81.31,,16.0
